codigo_interno,nome,codigo_barras,preco,estoque,categoria,ativo
592,"CREOLINA POPULAR 300ML GARR ICE","1005929",7.22,0,"mercearia",1
2838,"LAMIN BARB WILKINS/BIC UND","132625",1.22,0,"mercearia",1
3273,"LAMIN BARB WILKINSON CX3UND","1032659",2.5,0,"mercearia",1
10372,"LAMIN ESTIL 18M LARG 10UND FERTAK","7899095408920",5.22,0,"mercearia",1
9241,"LAMIN ESTIL 9MM UND ESTREITO LEONORA","1091328",0.5,0,"mercearia",1
4525,"MILHO GRAO BOM FILHO 1KG INTEIRO","1044614",2.5,0,"mercearia",1
7177,"SACOLA PLAST VERD 10KG 42X53 REFORCADA","1070880",14,0,"mercearia",1
9634,"SACOLA PLAST VERD 5KG 29X44 REFORCADA","1095234",8.5,0,"mercearia",1
13925,"SAL BOM DE MESA MOIDO 1KG IODADO","7898280090032",1.75,0,"mercearia",1
5942,"22TORR PAO E CIA COMUM","140",5.22,0,"mercearia",1
6373,"ABACAXI MARIZA 450G CALDA LATA","7896369614056",10.22,0,"mercearia",1
13852,"ABACAXI MARIZA 820G PEDAC/CALDA LATA","7896369615077",14,0,"mercearia",1
5600,"ABOTOADORA P/MOCHILA","3202",2,0,"mercearia",1
17275,"ABRIDOR COCO ORIGINAL UN","7899653780987",8.5,0,"mercearia",1
4778,"ABRIDOR GARR/SACA ROLH ORIG 12CM UND","7899653780895",15.75,0,"mercearia",1
3721,"ABRIDOR GARRAF ORIGINAL UND","221093",3.22,0,"mercearia",1
1850,"ABRIDOR LATA/GARR ORIGINAL UND ACO INOX SARDINHAS","7899653780956",3,0,"mercearia",1
9821,"ABS ALWAYS 16UN SECA C/AB LARANJA","7500435127233",10.22,0,"mercearia",1
9608,"ABS ALWAYS 32UN SEC C/AB LARANJA","7500435127288",31.22,0,"mercearia",1
12709,"ABS ALWAYS 32UN SUAV C/AB LARANJA","7506339326055",31.22,0,"mercearia",1
7709,"ABS ALWAYS 8UN SECA S/AB LARANJA","7500435127264",5.22,0,"mercearia",1
846,"ABS ALWAYS 8UN SUAV S/AB LARANJA","7500435127271",4.5,0,"mercearia",1
17600,"ABS ALWAYS NOT 16U AB SECA","7506339325249",22,0,"mercearia",1
5608,"ABS ALWAYS NOT 8U AB SECA","7506339394535",12.22,0,"mercearia",1
7708,"ABS ALWAYS NOT C/ABA SUAVE","7506339394603",11.95,0,"mercearia",1
17148,"ABS ALWAYS NOT ECON 10UND SUAVE","7500435233446",9.65,0,"mercearia",1
13945,"ABS ALWAYS NOT ECON 16UND SUAVE","7506339326031",19.6,0,"mercearia",1
989,"ABS ALWAYS SECA 8UN C/ABA","7500435127226",5.22,0,"mercearia",1
9609,"ABS ALWAYS SUAV C/AB 10UND","7500435190633",4.5,0,"mercearia",1
11198,"ABS ALWAYS SUAV C/AB16UND PROM","7500435127257",9.9,0,"mercearia",1
4132,"ABS ALWAYS SUAV C/ABA 8UND","7500435127240",4.95,0,"mercearia",1
12930,"ABS BASICCARE L22P16 UND","7896064449120",11.95,0,"mercearia",1
12931,"ABS BASICCARE L30P22 NOTURNO SUAVE C/ABAS","7896064402149",24.95,0,"mercearia",1
9123,"ABS BIFR PLUS C/20UN POS PARTO","7896012880531",26,0,"mercearia",1
1039,"ABS C BABY 8UN C/AB LADY ROSEO","7896227650158",4.22,0,"mercearia",1
3499,"ABS C BABY 8UN LADY S/AB AZUL CLARO","7896227650011",4.22,0,"mercearia",1
987,"ABS C OFF L8P7UND NOT C/A","7898067951518",6.5,0,"mercearia",1
12105,"ABS CHARMS 8UN C/AB SUAV","7896909300180",4.22,0,"mercearia",1
12104,"ABS CHARMS 8UN P ATIV S/ABA","7896909300210",4.22,0,"mercearia",1
12106,"ABS CHARMS 8UN P CLAS S/ABA","7896909300203",4.22,0,"mercearia",1
13005,"ABS CHARMS C/ABAS SUAVE NATURAL","7896909300159",4.25,0,"mercearia",1
13006,"ABS CHARMS S/ABAS SUAVE NATURAL","7896909300197",4,0,"mercearia",1
12304,"ABS CHARMS SUAVE 8UN C/ABAS","7896909300227",4.25,0,"mercearia",1
1043,"ABS CLINOF 8UN C/AB A VERA","7898067950955",3.75,0,"mercearia",1
1045,"ABS CLINOF 8UN S/ABA AL0E VERA","7898067950948",3.75,0,"mercearia",1
17836,"ABS CONFORT UNIC 20UN POS OPERATORIO","7899700800705",24.22,0,"mercearia",1
